Date,Open,High,Low,Close,Adj Close,Volume
2014-04-11,166.919998,168.050003,166.110001,166.259995,144.793716,1762400
2014-04-14,167.580002,168.000000,166.259995,167.600006,145.960693,1456600
2014-04-15,167.979996,168.869995,166.330002,168.759995,146.970917,2160100
2014-04-16,169.919998,170.550003,169.190002,170.539993,148.521072,2410000
2014-04-17,170.350006,171.240005,170.029999,170.740005,148.695267,925500
2014-04-21,170.850006,171.419998,170.660004,171.369995,149.243896,804400
2014-04-22,171.570007,172.619995,171.490005,172.119995,149.897110,1053300
2014-04-23,172.089996,172.160004,171.649994,171.710007,149.540009,724500
2014-04-24,172.630005,172.630005,171.300003,172.089996,149.870956,543900
2014-04-25,171.550003,171.630005,170.320007,170.710007,148.669159,1357900
2014-04-28,171.389999,171.960007,169.490005,171.229996,149.122025,647800
2014-04-29,171.789993,172.289993,171.429993,172.050003,149.836151,1065900
2014-04-30,171.750000,172.710007,171.500000,172.589996,150.306442,605300
2014-05-01,172.500000,173.029999,172.029999,172.600006,150.315155,623900
2014-05-02,172.559998,173.259995,172.059998,172.320007,150.071320,754800
2014-05-05,171.490005,172.720001,171.020004,172.679993,150.384750,792600
2014-05-06,172.270004,172.380005,171.110001,171.179993,149.078476,567700
2014-05-07,171.729996,172.220001,170.440002,172.190002,149.958054,1160600
2014-05-08,171.960007,173.199997,171.429993,171.979996,149.775131,1390700
2014-05-09,171.979996,172.289993,171.199997,172.279999,150.036423,955400
2014-05-12,172.960007,173.979996,172.960007,173.910004,151.455978,780100
2014-05-13,174.089996,174.490005,173.889999,174.070007,151.595322,994800
2014-05-14,173.910004,173.970001,173.000000,173.229996,150.863800,1335700
2014-05-15,172.899994,172.929993,170.869995,171.669998,149.505219,3191100
2014-05-16,171.800003,172.360001,171.100006,172.339996,150.088715,699600
2014-05-19,171.979996,173.100006,171.809998,172.929993,150.602509,926900
2014-05-20,172.860001,172.880005,171.410004,171.789993,149.609695,669400
2014-05-21,172.360001,173.369995,172.309998,173.279999,150.907349,991300
2014-05-22,173.350006,174.059998,173.059998,173.750000,151.316711,859000
2014-05-23,173.910004,174.539993,173.820007,174.470001,151.943695,613900
2014-05-27,175.089996,175.550003,175.000000,175.500000,152.840714,890000
2014-05-28,175.520004,175.789993,175.089996,175.320007,152.683929,990900
2014-05-29,175.820007,176.320007,175.369995,176.320007,153.554810,541000
2014-05-30,176.160004,176.690002,175.979996,176.550003,153.755142,874700
2014-06-02,176.830002,176.850006,175.940002,176.789993,153.964142,1620200
2014-06-03,176.350006,176.789993,176.220001,176.679993,153.868347,1252900
2014-06-04,176.369995,177.149994,176.199997,177.000000,154.147064,984900
2014-06-05,177.240005,178.380005,176.630005,178.199997,155.192093,853600
2014-06-06,178.619995,179.089996,178.520004,179.050003,155.932343,586800
2014-06-09,179.039993,179.690002,178.869995,179.229996,156.089081,461800
2014-06-10,179.029999,179.300003,178.660004,179.270004,156.123978,959900
2014-06-11,178.639999,178.820007,178.250000,178.690002,155.618805,558100
2014-06-12,178.419998,178.520004,176.979996,177.360001,154.460541,891400
2014-06-13,177.729996,178.070007,177.169998,177.919998,154.948257,731200
2014-06-16,177.690002,178.410004,177.500000,178.070007,155.078918,756700
2014-06-17,177.830002,178.679993,177.630005,178.539993,155.488190,2934400
2014-06-18,178.589996,179.970001,178.169998,179.869995,156.646454,501900
2014-06-19,180.039993,180.210007,179.509995,180.089996,156.838058,746900
2014-06-20,180.509995,180.570007,180.250000,180.449997,157.151596,830300
2014-06-23,179.699997,179.729996,179.270004,179.559998,157.080734,737700
2014-06-24,179.289993,180.139999,178.309998,178.500000,156.153473,391700
2014-06-25,178.139999,179.490005,178.130005,179.259995,156.818268,586000
2014-06-26,179.360001,179.380005,177.979996,179.169998,156.739548,676800
2014-06-27,178.789993,179.559998,178.690002,179.479996,157.010712,1032300
2014-06-30,179.429993,179.820007,179.279999,179.429993,156.966995,1261200
2014-07-01,179.880005,181.190002,179.830002,180.690002,158.069260,1199000
2014-07-02,180.669998,181.029999,180.570007,180.820007,158.182999,511500
2014-07-03,181.309998,181.779999,181.199997,181.729996,158.979065,327900
2014-07-07,181.380005,181.500000,180.839996,181.139999,158.462936,1151800
2014-07-08,180.770004,180.820007,179.500000,179.970001,157.439438,749400
2014-07-09,180.360001,180.880005,180.000000,180.720001,158.095520,930300
2014-07-10,179.009995,180.470001,178.839996,180.029999,157.491943,614600
2014-07-11,179.940002,180.360001,179.509995,180.270004,157.701904,520400
2014-07-14,181.199997,181.410004,181.020004,181.160004,158.480438,493100
2014-07-15,181.250000,181.630005,180.059998,180.850006,158.209198,1207000
2014-07-16,181.649994,181.759995,181.009995,181.539993,158.812836,539400
2014-07-17,180.960007,181.619995,179.190002,179.410004,156.949509,1103900
2014-07-18,180.020004,181.440002,179.940002,181.300003,158.602859,571500
2014-07-21,180.710007,181.080002,180.130005,180.910004,158.261688,866000
2014-07-22,181.580002,182.039993,181.419998,181.720001,158.970291,1509500
2014-07-23,182.000000,182.320007,181.639999,182.149994,159.346497,750900
2014-07-24,182.360001,182.500000,181.970001,182.149994,159.346497,535800
2014-07-25,181.649994,181.770004,180.940002,181.279999,158.585419,635700
2014-07-28,181.350006,181.600006,180.279999,181.360001,158.655350,485700
2014-07-29,181.699997,181.889999,180.570007,180.589996,157.981750,639000
2014-07-30,181.220001,181.440002,179.860001,180.589996,157.981750,1128500
